Image Name,Predicted Time
watch1_rotated_-270,10:10:00
watch1_rotated_-90,10:10:30
watch1_rotated_180,10:10:30
watch2_rotated_-270,11:14:00
watch2_rotated_-90,failed
watch2_rotated_180,11:14:11
watch3_rotated_-270,10:10:26
watch3_rotated_-90,10:09:25
watch3_rotated_180,10:10:26
watch4_rotated_-270,10:11:00
watch4_rotated_-90,10:10:44
watch4_rotated_180,10:10:44
watch5_rotated_-270,10:07:31
watch5_rotated_-90,10:07:31
watch5_rotated_180,10:07:31
watch48,10:07:33
watch100_rotated_-270,10:09:00
watch100_rotated_-90,10:09:00
watch100_rotated_180,10:09:00
watch10_rotated_-270,09:07:21
watch10_rotated_-90,09:07:21
watch10_rotated_180,09:07:21
watch11_rotated_-270,10:10:37
watch11_rotated_-90,10:10:37
watch11_rotated_180,10:10:37
watch12_rotated_-270,10:08:36
watch12_rotated_-90,10:08:36
watch12_rotated_180,10:08:36
watch13_rotated_-270,10:08:35
watch13_rotated_-90,10:08:36
watch13_rotated_180,10:08:36
watch14_rotated_-270,10:08:34
watch14_rotated_-90,10:08:34
watch14_rotated_180,10:08:34
watch154,07:50:00
watch155,10:10:00
watch156,10:08:37
watch157,10:09:00
watch158,01:50:00
watch159,failed
watch15_rotated_-270,10:09:32
watch15_rotated_-90,10:09:32
watch15_rotated_180,10:09:32
watch160,failed
watch161,01:48:00
watch162,failed
watch163,10:08:00
watch164,10:11:37
watch165,failed
watch166,10:09:00
watch167,06:50:10
watch168,failed
watch169,10:08:00
watch16_rotated_-270,10:08:37
watch16_rotated_-90,10:08:37
watch16_rotated_180,10:08:37
watch170,10:09:00
watch171,10:08:00
watch172,10:06:00
watch173,10:09:00
watch17_rotated_-270,10:10:35
watch17_rotated_-90,10:10:35
watch17_rotated_180,10:10:35
watch18_rotated_-270,10:08:37
watch18_rotated_-90,10:08:37
watch18_rotated_180,10:08:37
watch19_rotated_-270,10:08:36
watch19_rotated_-90,10:08:35
watch19_rotated_180,10:08:35
watch20_rotated_-270,10:08:37
watch20_rotated_-90,10:08:37
watch20_rotated_180,10:08:37
watch21_rotated_-270,10:08:37
watch21_rotated_-90,10:08:37
watch21_rotated_180,10:08:37
watch22_rotated_-270,10:08:37
watch22_rotated_-90,10:08:37
watch22_rotated_180,10:08:37
watch236,10:09:00
watch237,10:09:00
watch238,10:05:00
watch239,10:08:00
watch23_rotated_-270,10:07:41
watch23_rotated_-90,10:07:41
watch23_rotated_180,10:07:42
watch240,10:11:00
watch241,failed
watch242,10:08:00
watch243,10:08:36
watch244,01:10:40
watch245,10:09:00
watch246,10:08:36
watch247,10:10:00
watch248,failed
watch249,10:07:00
watch24_rotated_-270,10:09:54
watch24_rotated_-90,10:09:54
watch24_rotated_180,10:09:54
watch250,10:11:00
watch25_rotated_-270,02:51:59
watch25_rotated_-90,02:51:00
watch25_rotated_180,02:51:59
watch26_rotated_-270,10:08:37
watch26_rotated_-90,10:08:38
watch26_rotated_180,10:08:38
watch27_rotated_-270,09:04:34
watch27_rotated_-90,09:04:33
watch27_rotated_180,09:04:33
watch28_rotated_-270,10:07:54
watch28_rotated_-90,10:07:53
watch28_rotated_180,10:07:53
watch29_rotated_-270,10:10:59
watch29_rotated_-90,10:10:59
watch29_rotated_180,10:10:59
watch30_rotated_-270,09:08:00
watch30_rotated_-90,09:08:00
watch30_rotated_180,09:08:00
watch31_rotated_-270,10:10:34
watch31_rotated_-90,10:10:34
watch31_rotated_180,failed
watch32_rotated_-270,10:08:37
watch32_rotated_-90,10:08:37
watch32_rotated_180,10:08:36
watch33_rotated_-270,10:09:34
watch33_rotated_-90,10:09:33
watch33_rotated_180,10:09:34
watch34_rotated_-270,10:08:37
watch34_rotated_-90,10:08:37
watch34_rotated_180,10:08:37
watch35_rotated_-270,01:48:15
watch35_rotated_-90,02:48:14
watch35_rotated_180,01:48:15
watch36_rotated_-270,failed
watch36_rotated_-90,10:10:10
watch36_rotated_180,10:10:00
watch37_rotated_-270,10:10:06
watch37_rotated_-90,failed
watch37_rotated_180,failed
watch38_rotated_-270,09:13:36
watch38_rotated_-90,09:12:36
watch38_rotated_180,failed
watch39_rotated_-270,10:01:00
watch39_rotated_-90,09:01:00
watch39_rotated_180,10:01:00
watch40_rotated_-270,10:10:00
watch40_rotated_-90,failed
watch40_rotated_180,10:10:11
watch41_rotated_-270,10:09:35
watch41_rotated_-90,failed
watch41_rotated_180,10:09:35
watch42_rotated_-270,03:42:48
watch42_rotated_-90,03:48:42
watch42_rotated_180,03:42:48
watch43_rotated_-270,10:07:38
watch43_rotated_-90,09:09:35
watch43_rotated_180,09:08:35
watch44_rotated_-270,10:06:00
watch44_rotated_-90,10:06:00
watch44_rotated_180,10:06:00
watch45_rotated_-270,failed
watch45_rotated_-90,failed
watch45_rotated_180,10:08:00
watch46_rotated_-270,failed
watch46_rotated_-90,10:06:35
watch46_rotated_180,10:06:35
watch47_rotated_-270,10:09:35
watch47_rotated_-90,10:09:35
watch47_rotated_180,10:09:35
watch48_rotated_-270,10:06:33
watch48_rotated_-90,10:07:33
watch48_rotated_180,10:07:33
watch49_rotated_-270,10:08:59
watch49_rotated_-90,09:08:59
watch49_rotated_180,10:08:59
watch50_rotated_-270,failed
watch50_rotated_-90,10:09:00
watch50_rotated_180,failed
watch510,10:09:37
watch511,10:09:37
watch512,10:08:42
watch513,10:08:42
watch514,10:08:36
watch515,10:08:36
watch516,10:08:36
watch517,failed
watch518,10:08:34
watch519,10:09:00
watch51_rotated_-270,10:08:00
watch51_rotated_-90,10:08:59
watch51_rotated_180,10:08:59
watch520,10:08:00
watch521,10:09:00
watch522,10:09:00
watch523,10:08:42
watch524,10:08:42
watch525,10:09:00
watch526,10:09:00
watch527,10:10:00
watch528,09:11:00
watch529,10:09:00
watch52_rotated_-270,10:07:59
watch52_rotated_-90,failed
watch52_rotated_180,09:07:00
watch530,10:09:00
watch531,10:09:37
watch532,10:08:37
watch533,10:10:25
watch534,10:09:25
watch535,10:10:31
watch536,10:10:32
watch537,10:10:13
watch538,10:10:13
watch539,10:08:00
watch53_rotated_-270,10:09:00
watch53_rotated_-90,10:09:00
watch53_rotated_180,10:09:00
watch540,10:08:00
watch541,10:08:00
watch542,10:09:00
watch543,10:08:36
watch544,10:08:37
watch545,10:09:36
watch546,10:10:35
watch547,10:09:00
watch548,10:09:00
watch549,failed
watch54_rotated_-270,09:09:00
watch54_rotated_-90,10:08:00
watch54_rotated_180,04:39:00
watch550,10:09:35
watch551,10:09:36
watch552,09:10:34
watch553,09:10:35
watch554,10:09:36
watch555,10:09:35
watch556,10:09:00
watch557,10:09:00
watch558,10:10:31
watch559,10:10:31
watch55_rotated_-270,09:08:00
watch55_rotated_-90,09:08:00
watch55_rotated_180,10:08:00
watch560,10:01:00
watch561,10:12:22
watch562,10:06:00
watch56_rotated_-270,10:11:37
watch56_rotated_-90,10:11:37
watch56_rotated_180,10:11:37
watch57_rotated_-270,10:09:00
watch57_rotated_-90,05:45:27
watch57_rotated_180,10:09:00
watch58_rotated_-270,10:08:00
watch58_rotated_-90,failed
watch58_rotated_180,11:11:00
watch59_rotated_-270,10:12:00
watch59_rotated_-90,10:11:00
watch59_rotated_180,10:12:00
watch60_rotated_-270,10:06:00
watch60_rotated_-90,10:06:00
watch60_rotated_180,10:06:00
watch61_rotated_-270,failed
watch61_rotated_-90,06:39:48
watch61_rotated_180,06:40:48
watch62,11:39:32
watch62_rotated_-270,12:39:31
watch62_rotated_-90,failed
watch62_rotated_180,05:07:59
watch63,09:09:00
watch63_rotated_-270,09:09:30
watch63_rotated_-90,09:09:30
watch63_rotated_180,failed
watch64,10:08:00
watch64_rotated_-270,10:08:00
watch64_rotated_-90,10:08:00
watch64_rotated_180,10:08:00
watch65,08:00:55
watch65_rotated_-270,01:25:00
watch65_rotated_-90,01:24:00
watch65_rotated_180,01:25:20
watch66,05:50:00
watch66_rotated_-270,10:10:00
watch66_rotated_-90,10:10:00
watch66_rotated_180,10:10:00
watch67,10:11:41
watch67_rotated_-270,10:11:41
watch67_rotated_-90,10:11:41
watch67_rotated_180,10:11:41
watch68,10:09:09
watch68_rotated_-270,10:09:00
watch68_rotated_-90,10:09:00
watch68_rotated_180,10:09:00
watch69,03:17:00
watch69_rotated_-270,03:17:00
watch69_rotated_-90,failed
watch69_rotated_180,04:17:00
watch6_rotated_-270,failed
watch6_rotated_-90,failed
watch6_rotated_180,failed
watch70,10:08:00
watch70_rotated_-270,10:08:00
watch70_rotated_-90,10:08:00
watch70_rotated_180,10:08:00
watch71,10:07:26
watch71_rotated_-270,10:07:25
watch71_rotated_-90,10:08:26
watch71_rotated_180,10:08:25
watch72,03:48:00
watch72_rotated_-270,04:48:00
watch72_rotated_-90,04:48:00
watch72_rotated_180,04:48:00
watch73,10:09:00
watch73_rotated_-270,10:10:00
watch73_rotated_-90,10:10:00
watch73_rotated_180,10:10:00
watch74_rotated_-270,10:09:52
watch74_rotated_-90,10:09:52
watch74_rotated_180,10:09:52
watch75_rotated_-270,failed
watch75_rotated_-90,failed
watch75_rotated_180,failed
watch76_rotated_-270,failed
watch76_rotated_-90,failed
watch76_rotated_180,failed
watch77_rotated_-270,failed
watch77_rotated_-90,10:11:11
watch77_rotated_180,failed
watch78_rotated_-270,failed
watch78_rotated_-90,failed
watch78_rotated_180,failed
watch79_rotated_-270,failed
watch79_rotated_-90,failed
watch79_rotated_180,failed
watch7_rotated_-270,10:10:34
watch7_rotated_-90,10:10:34
watch7_rotated_180,10:10:35
watch80_rotated_-270,09:08:00
watch80_rotated_-90,10:08:03
watch80_rotated_180,09:07:03
watch81_rotated_-270,10:09:26
watch81_rotated_-90,10:09:27
watch81_rotated_180,10:09:26
watch82_rotated_-270,09:06:26
watch82_rotated_-90,09:06:26
watch82_rotated_180,09:06:26
watch83_rotated_-270,10:09:00
watch83_rotated_-90,10:09:00
watch83_rotated_180,10:09:00
watch84_rotated_-270,10:09:10
watch84_rotated_-90,10:09:10
watch84_rotated_180,failed
watch85_rotated_-270,10:12:36
watch85_rotated_-90,10:12:37
watch85_rotated_180,10:12:36
watch86_rotated_-270,10:09:00
watch86_rotated_-90,10:09:00
watch86_rotated_180,10:09:00
watch87_rotated_-270,10:12:36
watch87_rotated_-90,10:12:36
watch87_rotated_180,10:12:36
watch88_rotated_-270,failed
watch88_rotated_-90,failed
watch88_rotated_180,failed
watch89_rotated_-270,10:50:08
watch89_rotated_-90,10:07:08
watch89_rotated_180,10:50:08
watch8_rotated_-270,10:08:33
watch8_rotated_-90,10:08:33
watch8_rotated_180,10:08:33
watch90_rotated_-270,failed
watch90_rotated_-90,10:09:00
watch90_rotated_180,10:09:00
watch91_rotated_-270,10:11:35
watch91_rotated_-90,10:11:36
watch91_rotated_180,10:11:36
watch92_rotated_-270,failed
watch92_rotated_-90,10:10:00
watch92_rotated_180,09:10:00
watch93_rotated_-270,10:08:00
watch93_rotated_-90,10:08:00
watch93_rotated_180,10:08:00
watch94_rotated_-270,failed
watch94_rotated_-90,failed
watch94_rotated_180,failed
watch95_rotated_-270,10:07:00
watch95_rotated_-90,10:07:00
watch95_rotated_180,10:07:00
watch96_rotated_-270,01:50:23
watch96_rotated_-90,01:50:23
watch96_rotated_180,01:50:24
watch97_rotated_-270,failed
watch97_rotated_-90,failed
watch97_rotated_180,failed
watch98_rotated_-270,failed
watch98_rotated_-90,01:50:00
watch98_rotated_180,failed
watch99_rotated_-270,09:09:00
watch99_rotated_-90,10:09:00
watch99_rotated_180,10:09:00
watch9_rotated_-270,10:08:40
watch9_rotated_-90,10:08:39
watch9_rotated_180,10:08:40
Imagem WhatsApp 2024-12-03 às 14.43,failed
Imagem WhatsApp 2024-12-03 às 14.43.40_c7bb7da1,failed
Captura de ecrã 2024-12-05 001116,failed
Captura de ecrã 2024-12-05 001157,12:46:08
watch_test26,failed
watch_test22,failed
watch_test17,failed
watch_test16,failed
watch_test6,failed
Captura de ecrã 2024-12-04 235342,05:10:43
watch_test5,failed
watch_test18,failed
Imagem WhatsApp 2024-09-29 às 20.23,08:12:09
watch_test1,10:09:35
watch_test10,failed
watch_test11,10:10:00
watch_test12,failed
watch_test13,failed
watch_test14,failed
watch_test15,failed
watch_test19,failed
watch_test2,failed
watch_test20,failed
watch_test21,failed
watch_test23,10:09:00
watch_test24,failed
watch_test25,failed
watch_test3,failed
watch_test4,failed
watch_test7,10:11:20
watch_test8,failed
watch_test9,failed
Imagem WhatsApp 2024-09-29 às 20.23.51_028a91e7,failed
Imagem WhatsApp 2024-09-29 às 20.23.51_2fb63978,failed
Imagem WhatsApp 2024-09-29 às 20.23.51_cc9fd584,failed
Captura de ecrã 2024-12-05 002044,05:02:33
Captura de ecrã 2024-12-05 002008,11:14:00
Captura de ecrã 2024-12-05 002420,failed
Imagem WhatsApp 2024-11-26 às 18.39,06:38:00
Imagem WhatsApp 2024-11-26 às 18.39.58_a4908a36,failed
nova,01:56:44
Captura de ecrã 2024-12-05 113908,failed
images (2),failed
images (1),09:42:08
4dbd905-111604-relogio-em-aco-de-mulher-palace,failed
ref,failed
ref.rl024-5,failed
images (3),failed
images (6),09:13:00
1,01:48:00
images (4),10:33:10
GIE2jsgW0AAubyy,11:19:39
images (7),02:04:00
Captura de ecrã 2024-12-05 221838,failed
Captura de ecrã 2024-12-05 221820,failed
Captura de ecrã 2024-12-05 221801,08:28:00
watch1,10:09:00
watch1_blurred,10:09:00
watch_test27,failed
watch_test100,failed
watch_test101,failed
watch_test102,10:49:44
watch_test103,failed
watch_test104,09:15:43
watch_test105,01:22:36
watch_test106,failed
watch_test107,failed
watch_test108,failed
watch_test109,failed
watch_test28,failed
watch_test29,failed
watch_test30,failed
watch_test31,failed
watch_test32,10:08:00
watch_test33,failed
watch_test34,failed
watch_test35,04:20:00
watch_test36,failed
watch_test37,01:55:27
watch_test38,10:08:00
watch_test39,failed
watch_test40,10:10:00
watch_test41,10:09:38
watch_test42,failed
watch_test43,failed
watch_test44,10:07:00
watch_test45,10:07:37
watch_test46,09:08:42
watch_test47,09:08:37
watch_test48,failed
watch_test49,10:08:35
watch_test50,failed
watch_test51,10:09:00
watch_test52,failed
watch_test53,failed
watch_test54,10:12:00
watch_test55,failed
watch_test56,failed
watch_test57,12:32:24
watch_test58,failed
watch_test59,failed
watch_test60,11:04:00
watch_test61,failed
watch_test62,10:11:00
watch_test63,failed
watch_test64,failed
watch_test65,failed
watch_test66,failed
watch_test67,failed
watch_test68,failed
watch_test69,08:03:22
watch_test70,failed
watch_test71,07:06:30
watch_test72,failed
watch_test73,failed
watch_test74,failed
watch_test75,10:10:38
watch_test76,failed
watch_test77,failed
watch_test78,10:08:36
watch_test79,failed
watch_test80,failed
watch_test81,failed
watch_test82,failed
watch_test83,09:08:42
watch_test84,failed
watch_test85,failed
watch_test86,failed
watch_test87,failed
watch_test88,failed
watch_test89,failed
watch_test90,failed
watch_test91,failed
watch_test92,failed
watch_test93,failed
watch_test94,10:09:00
watch_test95,failed
watch_test96,10:08:42
watch_test97,failed
watch_test98,failed
watch_test99,01:17:11
61Uu1zecQFL,01:54:00
"61Uu1zecQFL._AC_UF894,1000_QL80_",failed
rrrr,failed
54,failed
Captura de ecrã 2024-12-07 212656,failed
ima,failed
Imagem WhatsApp 2024-11-26 às 18.39.59_76ca4de6,failed
Imagem WhatsApp 2024-12-07 às 23.38,failed
Imagem WhatsApp 2024-12-07 às 23.38.35_238529a0,failed
Imagem WhatsApp 2024-12-07 às 23.38.29_65fba6e6,failed
Imagem WhatsApp 2024-12-07 às 23.38.31_ec8a2692,failed
Imagem WhatsApp 2024-12-07 às 23.38.29_a7604b0b,failed
Imagem WhatsApp 2024-12-07 às 23.38.30_2bd9221a,failed
Imagem WhatsApp 2024-12-07 às 23.38.30_439159d9,failed
Imagem WhatsApp 2024-12-07 às 23.38.31_61c4211b,failed
Imagem WhatsApp 2024-12-07 às 23.38.32_3a009aa7,failed
Imagem WhatsApp 2024-12-07 às 23.38.32_82a1fde4,failed
Imagem WhatsApp 2024-12-07 às 23.38.33_c3e43c60,failed
Imagem WhatsApp 2024-12-07 às 23.38.34_a82eb9a4,failed
Imagem WhatsApp 2024-12-07 às 23.38.34_b55a748f,failed
